ajoneuvoluokka;ensirekisterointipvm;ajoneuvoryhma;ajoneuvonkaytto;variantti;versio;kayttoonottopvm;vari;ovienLukumaara;korityyppi;ohjaamotyyppi;istumapaikkojenLkm;omamassa;teknSuurSallKokmassa;tieliikSuurSallKokmassa;ajonKokPituus;ajonLeveys;ajonKorkeus;kayttovoima;iskutilavuus;suurinNettoteho;sylintereidenLkm;ahdin;sahkohybridi;merkkiSelvakielinen;mallimerkinta;vaihteisto;vaihteidenLkm;kaupallinenNimi;voimanvalJaTehostamistapa;tyyppihyvaksyntanro;yksittaisKayttovoima;kunta;Co2;matkamittarilukema;alue;valmistenumero2;jarnro
M1;2010-01-15;;01;12D;6;20100115;6;4;AA;;5;1500;2035;;4755;1795;1440;02;1998;103;4;true;;Mazda;6 Sedan (AA) 4ov 1998cm3;1;6;6;05;e1*01/116*0448*02;02;564;147;113015;902;JMZGH12D60;3204593
M1;2010-01-12;;01;12D;6;20100112;8;4;AA;;5;1500;2035;;4755;1795;1440;02;1998;103;4;true;;Mazda;6 Sedan (AA) 4ov 1998cm3;1;6;6;05;e1*01/116*0448*02;02;049;147;132216;023;JMZGH12D60;3204603
M1;2010-01-04;;01;12D;6;20100104;8;4;AA;;5;1500;2035;;4755;1795;1440;02;1998;103;4;true;;Mazda;6 Sedan (AA) 4ov 1998cm3;1;6;6;05;e1*01/116*0448*02;02;286;147;148724;472;JMZGH12D60;3204606
M1;2010-02-05;;01;12D;6;20100205;8;4;AA;;5;1500;2035;;4755;1795;1440;02;1998;103;4;true;;Mazda;6 Sedan (AA) 4ov 1998cm3;1;6;6;05;e1*01/116*0448*02;02;698;147;122565;969;JMZGH12D60;3204607
M1;2010-01-20;;01;19R;6;20100120;6;4;AF;;7;1610;2250;;4565;1755;1665;02;1998;105;4;true;;Mazda;5 Monikäyttöajoneuvo (AF) 4ov 1998cm3;1;6;5;05;e13*01/116*0156*06;02;272;159;174047;675;JMZCR19R60;3204641
M1;2010-06-18;;01;12L;6;20100618;6;4;AA;;5;1395;1930;;4755;1795;1440;01;2488;125;4;false;;Mazda;6 Sedan (AA) 4ov 2488cm3;1;6;6;05;e1*01/116*0448*02;01;286;192;133356;;JMZGH12L60;3204683
M1;2010-04-23;;01;12L;6;20100423;6;4;AA;;5;1395;1930;;4755;1795;1440;01;2488;125;4;false;;Mazda;6 Sedan (AA) 4ov 2488cm3;1;6;6;05;e1*01/116*0448*02;01;297;192;80705;701;JMZGH12L60;3204684
M1;2010-04-28;;01;12L;6;20100428;6;4;AA;;5;1395;1930;;4755;1795;1440;01;2488;125;4;false;;Mazda;6 Sedan (AA) 4ov 2488cm3;1;6;6;05;e1*01/116*0448*02;01;092;192;140854;012;JMZGH12L60;3204685
M1;2010-04-14;;01;19L;6;20100414;2;4;AC;;5;1455;2010;2010;4785;1795;1490;01;2488;125;4;false;false;Mazda;6 Farmari (AC) 4ov 2488cm3;1;6;6;05;e1*01/116*0448*02;01;245;193;164965;042;JMZGH19L60;3204766
M1;2010-01-29;;01;ACCBABX1;AA6AA69M023ND7MB;20100129;2;4;AC;;5;1679;2260;;4520;1809;1706;02;1968;103;4;true;;Volkswagen;TIGUAN Farmari (AC) 4ov 1968cm3 A;2;6;TIGUAN;05;e1*01/116*0450*03;02;049;199;130705;023;WVGZZZ5NZ8;3204860
