ï»¿VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2017-01-18 06:40:12,2017-01-18 07:03:21,1,9.20,1,N,238,138,1,28,0,0.5,5,5.54,0.3,39.34
1,2017-01-18 07:24:10,2017-01-18 08:35:10,1,18.00,2,N,132,50,2,52,0,0.5,0,5.54,0.3,58.34
1,2017-01-18 07:56:33,2017-01-18 08:27:51,1,8.60,1,N,90,244,1,30,0,0.5,3,0,0.3,33.8
2,2017-01-18 08:27:06,2017-01-18 08:33:26,1,.81,1,N,186,234,1,6,0,0.5,1.7,0,0.3,8.5
2,2017-01-18 08:56:47,2017-01-18 09:11:43,1,2.78,1,N,226,129,2,12.5,0,0.5,0,0,0.3,13.3
2,2017-01-18 09:28:48,2017-01-18 09:48:53,1,1.15,1,N,43,141,2,12.5,0,0.5,0,0,0.3,13.3
2,2017-01-18 10:01:35,2017-01-18 10:16:45,2,1.17,1,N,43,162,1,10,0,0.5,2.16,0,0.3,12.96
1,2017-01-18 10:39:51,2017-01-18 10:46:39,1,.50,1,N,230,163,2,6,0,0.5,0,0,0.3,6.8
2,2017-01-18 11:19:29,2017-01-18 11:27:44,2,.88,1,N,48,163,2,7,0,0.5,0,0,0.3,7.8
2,2017-01-18 11:57:52,2017-01-18 12:10:48,5,2.03,1,N,142,140,1,10.5,0,0.5,2.26,0,0.3,13.56
2,2017-01-18 12:34:54,2017-01-18 12:48:03,1,1.18,1,N,186,161,1,9,0,0.5,2.45,0,0.3,12.25
1,2017-01-18 13:12:27,2017-01-18 13:53:43,1,9.50,1,N,264,264,1,37,0,0.5,10.8,5.54,0.3,54.14
2,2017-01-18 13:49:38,2017-01-18 13:58:09,1,.80,1,N,162,163,2,7,0,0.5,0,0,0.3,7.8
2,2017-01-22 02:30:36,2017-01-22 02:44:26,1,3.46,1,N,148,48,1,13,0.5,0.5,3.58,0,0.3,17.88
2,2017-01-18 14:28:45,2017-01-18 14:46:28,3,7.25,1,N,132,197,1,23,0,0.5,4.76,0,0.3,28.56
2,2017-01-18 15:03:42,2017-01-18 15:11:37,1,1.24,1,N,43,142,1,7.5,0,0.5,1.66,0,0.3,9.96
2,2017-01-18 15:38:49,2017-01-18 15:43:46,1,.78,1,N,239,238,2,5.5,0,0.5,0,0,0.3,6.3
1,2017-01-18 16:17:20,2017-01-18 16:24:21,1,.90,1,N,230,48,1,6.5,1,0.5,1,0,0.3,9.3
1,2017-01-18 16:56:51,2017-01-18 17:01:11,1,.90,1,N,236,237,1,5,1,0.5,1.2,0,0.3,8
2,2017-01-18 17:33:03,2017-01-18 17:38:39,1,.61,1,N,229,170,1,5.5,1,0.5,1.46,0,0.3,8.76
1,2017-01-18 18:04:34,2017-01-18 18:09:43,1,1.30,1,N,238,142,1,6,1,0.5,1.55,0,0.3,9.35
2,2017-01-18 18:32:58,2017-01-18 18:41:42,5,.77,1,N,162,141,1,7,1,0.5,2.2,0,0.3,11
2,2017-01-18 19:00:19,2017-01-18 19:03:39,1,.43,1,N,14,14,2,4,1,0.5,0,0,0.3,5.8
2,2017-01-05 17:55:00,2017-01-05 18:02:25,4,1.34,1,N,170,234,1,7,1,0.5,2.2,0,0.3,11
1,2017-01-05 18:24:06,2017-01-05 18:31:21,1,.80,1,N,48,163,1,6,1,0.5,2.3,0,0.3,10.1
2,2017-01-09 11:07:34,2017-01-09 11:30:38,1,2.27,1,N,229,142,2,15.5,0,0.5,0,0,0.3,16.3
2,2017-01-05 18:53:26,2017-01-05 18:57:41,3,1.03,1,N,236,263,1,5.5,1,0.5,1.46,0,0.3,8.76
1,2017-01-05 19:21:20,2017-01-05 19:21:20,1,.00,1,N,131,264,2,5.5,1,0.5,0,0,0.3,7.3
2,2017-01-05 19:50:26,2017-01-05 19:53:54,1,.72,1,N,162,170,1,4.5,1,0.5,1.26,0,0.3,7.56
2,2017-01-05 20:19:27,2017-01-05 20:27:06,1,.94,1,N,137,224,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,2017-01-05 20:50:11,2017-01-05 20:51:42,6,.65,1,N,162,141,1,4,0.5,0.5,0.53,0,0.3,5.83
1,2017-01-09 08:31:55,2017-01-09 08:42:38,1,1.30,1,N,249,211,1,8,0,0.5,1.75,0,0.3,10.55
2,2017-01-05 21:22:11,2017-01-05 21:38:39,1,4.61,1,N,48,74,1,16,0.5,0.5,2,0,0.3,19.3
2,2017-01-05 21:48:27,2017-01-05 22:01:31,3,1.70,1,N,230,107,2,10,0.5,0.5,0,0,0.3,11.3
2,2017-01-05 22:17:53,2017-01-05 22:28:31,6,2.62,1,N,161,113,1,10,0.5,0.5,3.39,0,0.3,14.69
1,2017-01-05 22:53:17,2017-01-05 23:01:58,4,1.40,1,N,79,148,2,7.5,0.5,0.5,0,0,0.3,8.8
1,2017-01-05 23:36:20,2017-01-05 23:39:04,1,.60,1,N,164,234,1,4,0.5,0.5,1,0,0.3,6.3
1,2017-01-06 00:30:59,2017-01-06 00:42:15,2,2.30,1,N,141,143,1,10,0.5,0.5,2.25,0,0.3,13.55
2,2017-01-06 02:04:03,2017-01-06 02:18:20,1,2.39,1,N,158,170,2,11.5,0.5,0.5,0,0,0.3,12.8
1,2017-01-06 05:39:15,2017-01-06 05:59:58,1,9.50,1,N,90,138,1,28,0.5,0.5,6.95,5.54,0.3,41.79
1,2017-01-18 19:39:47,2017-01-18 19:58:21,1,4.90,1,N,13,144,1,18.5,1,0.5,4.05,0,0.3,24.35
1,2017-01-18 20:08:39,2017-01-18 20:19:41,1,1.20,1,N,79,234,1,8.5,0.5,0.5,1,0,0.3,10.8
2,2017-01-18 20:38:41,2017-01-18 20:50:14,1,1.62,1,N,230,143,1,9,0.5,0.5,2.06,0,0.3,12.36
1,2017-01-18 21:09:28,2017-01-18 21:14:35,1,1.00,1,N,141,162,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2017-01-18 21:40:15,2017-01-18 21:53:34,1,2.40,1,N,229,79,1,11,0.5,0.5,3.05,0,0.3,15.35
1,2017-01-18 22:10:50,2017-01-18 22:29:50,2,4.70,1,N,113,143,1,17.5,0.5,0.5,3.75,0,0.3,22.55
2,2017-01-18 22:45:42,2017-01-18 22:55:13,2,2.83,1,N,148,80,1,11,0.5,0.5,2.46,0,0.3,14.76
1,2017-01-18 23:26:36,2017-01-18 23:29:32,1,.70,1,N,140,141,1,4.5,0.5,0.5,0.75,0,0.3,6.55
1,2017-01-19 00:28:15,2017-01-19 00:34:50,1,1.50,1,N,239,163,2,7,0.5,0.5,0,0,0.3,8.3
1,2017-01-19 02:34:04,2017-01-19 02:51:05,1,7.90,1,N,140,255,1,23.5,0.5,0.5,4.95,0,0.3,29.75
1,2017-01-19 06:10:25,2017-01-19 06:16:09,1,.90,1,N,48,161,2,6,0,0.5,0,0,0.3,6.8
2,2017-01-06 06:05:52,2017-01-06 06:11:45,1,2.13,1,N,79,161,1,8,0,0.5,1.76,0,0.3,10.56
2,2017-01-19 07:45:48,2017-01-19 07:53:14,4,1.08,1,N,262,237,1,7,0,0.5,1,0,0.3,10.75
1,2017-01-06 06:55:47,2017-01-06 07:08:50,1,3.00,1,N,164,87,1,11.5,0,0.5,2,0,0.3,14.3
1,2017-01-19 08:21:24,2017-01-19 08:34:11,4,.70,1,N,107,137,1,8.5,0,0.5,1,0,0.3,10.3
1,2017-01-19 08:52:49,2017-01-19 09:04:39,1,1.50,1,N,143,161,1,9,0,0.5,1,0,0.3,10.8
2,2017-01-19 09:26:50,2017-01-19 09:50:17,1,4.62,1,N,40,249,1,19.5,0,0.5,2.03,0,0.3,22.33
2,2017-01-06 07:12:32,2017-01-06 07:22:15,1,1.76,1,N,50,162,1,8.5,0,0.5,0.93,0,0.3,12.18
2,2017-01-19 10:27:24,2017-01-19 10:33:00,1,.65,1,N,48,230,1,5,0,0.5,1.16,0,0.3,6.96
1,2017-01-06 07:56:33,2017-01-06 08:16:55,2,3.70,1,N,231,234,1,16,0,0.5,2.52,0,0.3,19.32
2,2017-01-06 08:30:30,2017-01-06 08:34:36,1,1.06,1,N,249,234,1,5.5,0,0.5,1.26,0,0.3,7.56
2,2017-01-06 09:03:17,2017-01-06 10:10:03,1,20.90,2,N,132,261,1,52,0,0.5,10.56,0,0.3,63.36
1,2017-01-06 09:39:12,2017-01-06 09:44:13,1,1.00,1,N,234,114,1,5.5,0,0.5,1.25,0,0.3,7.55
1,2017-01-06 10:18:42,2017-01-06 10:25:38,1,1.00,1,N,161,237,1,6.5,0,0.5,1.46,0,0.3,8.76
2,2017-01-06 11:00:03,2017-01-06 11:11:57,3,1.40,1,N,246,234,1,9,0,0.5,1,0,0.3,10.8
1,2017-01-06 11:41:20,2017-01-06 11:49:12,1,.90,1,N,100,163,1,6.5,0,0.5,2,0,0.3,9.3
1,2017-01-09 11:56:39,2017-01-09 12:09:39,2,1.50,1,N,211,13,1,10,0,0.5,2.15,0,0.3,12.95
2,2017-01-06 12:21:39,2017-01-06 12:26:50,1,1.07,1,N,236,239,1,6,0,0.5,1.36,0,0.3,8.16
1,2017-01-06 13:00:29,2017-01-06 13:08:13,1,1.00,1,N,236,162,1,7,0,0.5,1,0,0.3,8.8
2,2017-01-06 13:39:06,2017-01-06 13:45:41,1,1.34,1,N,249,231,2,6.5,0,0.5,0,0,0.3,7.3
1,2017-01-06 14:15:00,2017-01-06 14:18:56,1,.70,1,N,48,246,1,5,0,0.5,1.05,0,0.3,6.85
